iter	Passed	Remaining
235	424	1375
236	425	1371
237	426	1366
238	427	1362
239	428	1358
240	429	1354
241	430	1349
242	431	1345
243	432	1341
244	433	1337
245	434	1333
246	435	1329
247	436	1325
248	437	1320
249	439	1317
250	440	1313
251	441	1309
252	442	1305
253	443	1301
254	443	1297
255	444	1293
256	445	1289
257	447	1285
258	448	1281
259	449	1278
260	450	1274
261	451	1271
262	452	1267
263	453	1264
264	454	1261
265	455	1257
266	456	1254
267	457	1250
268	458	1246
269	459	1242
270	460	1239
271	461	1235
272	462	1232
273	463	1229
274	465	1225
275	466	1222
276	467	1219
277	468	1215
278	469	1212
279	470	1208
280	471	1205
281	472	1202
282	473	1198
283	474	1195
284	475	1191
285	476	1188
286	477	1185
287	478	1181
288	479	1179
289	480	1175
290	481	1172
291	482	1169
292	483	1166
293	484	1163
294	485	1160
295	486	1157
296	487	1153
297	488	1150
298	489	1147
299	490	1144
300	491	1141
301	492	1138
302	493	1135
303	494	1132
304	496	1130
305	497	1127
306	498	1124
307	499	1121
308	500	1118
309	501	1115
310	502	1112
311	503	1109
312	504	1106
313	505	1103
314	506	1100
315	507	1098
316	508	1096
317	509	1093
318	510	1090
319	511	1087
320	512	1084
321	513	1081
322	514	1078
323	515	1076
324	516	1073
325	517	1070
326	518	1067
327	519	1064
328	520	1062
329	521	1059
330	523	1057
331	524	1054
332	525	1051
333	526	1049
334	527	1046
335	528	1043
336	529	1040
337	530	1038
338	531	1035
339	532	1032
340	532	1030
341	534	1027
342	534	1024
343	535	1022
344	537	1019
345	538	1018
346	540	1016
347	541	1014
348	542	1011
349	543	1009
350	544	1006
351	545	1004
352	546	1002
353	548	1000
354	549	997
355	550	995
356	551	993
357	553	991
358	554	989
359	555	988
360	556	985
361	557	983
362	558	980
363	559	978
364	560	975
365	561	973
366	562	970
367	563	968
368	564	966
369	565	963
370	567	961
371	568	959
372	569	956
373	570	954
374	571	951
375	572	949
376	573	947
377	574	944
378	575	942
379	576	939
380	577	937
381	578	935
382	579	933
383	580	930
384	581	928
385	582	926
386	583	924
387	584	921
388	585	919
389	586	918
390	587	915
391	588	913
392	589	911
393	590	908
394	592	906
395	592	904
396	593	902
397	594	899
398	596	897
399	597	896
400	598	893
401	599	891
402	600	889
403	601	887
404	602	885
405	603	882
406	604	880
407	605	878
408	606	875
409	607	873
410	608	871
411	609	869
412	610	867
413	611	865
414	612	863
415	613	861
416	614	859
417	615	857
418	616	855
419	617	852
420	618	850
421	619	848
422	620	846
423	621	844
424	622	842
425	624	841
426	625	838
427	626	837
428	627	835
429	628	833
430	629	831
431	630	828
432	631	826
433	632	824
434	633	822
435	634	820
436	635	818
437	636	816
438	637	814
439	638	812
440	639	810
441	640	808
442	641	806
443	642	804
444	643	802
445	644	800
446	645	798
447	646	796
448	647	794
449	648	792
450	649	790
451	650	788
452	651	786
453	652	785
454	653	783
455	654	781
456	656	779
457	657	777
458	658	775
459	659	773
460	660	771
461	661	769
462	662	767
463	663	765
464	664	764
465	665	762
466	666	760
467	667	758
468	668	756
469	669	754
470	670	752
471	671	751
